Parent	GO biological process complete	ref	list	expected	Fold Enrichment	+/-	raw P value	FDR
-	regulation of macromolecule metabolic process	6215	43	26.23	1.64	+	2.42E-04	3.68E-02
-	regulation of metabolic process	6772	47	28.58	1.64	+	5.44E-05	1.55E-02
-	regulation of nucleobase-containing compound metabolic process	4065	32	17.16	1.87	+	2.19E-04	3.43E-02
*	regulation of cell shape	167	6	0.7	8.51	+	9.02E-05	2.12E-02
*	translational initiation	143	5	0.6	8.28	+	4.03E-04	4.87E-02
*	lymphocyte mediated immunity	264	7	1.11	6.28	+	1.46E-04	2.65E-02
*	lymphocyte activation	385	8	1.62	4.92	+	2.49E-04	3.72E-02
-	leukocyte activation	921	15	3.89	3.86	+	7.60E-06	5.51E-03
-	cell activation	1068	15	4.51	3.33	+	4.19E-05	1.34E-02
*	cellular response to growth factor stimulus	502	9	2.12	4.25	+	2.96E-04	4.22E-02
-	response to growth factor	531	10	2.24	4.46	+	9.04E-05	2.06E-02
*	viral process	791	14	3.34	4.19	+	6.31E-06	5.04E-03
-	symbiotic process	883	14	3.73	3.76	+	2.13E-05	9.18E-03
*	mRNA metabolic process	696	12	2.94	4.09	+	3.98E-05	1.30E-02
*	protein localization to organelle	768	12	3.24	3.7	+	1.00E-04	2.22E-02
*	positive regulation of cell death	711	11	3	3.67	+	2.17E-04	3.43E-02
-	regulation of cell death	1706	18	7.2	2.5	+	2.54E-04	3.76E-02
*	cellular response to endogenous stimulus	1224	15	5.17	2.9	+	1.88E-04	3.07E-02
-	response to endogenous stimulus	1512	18	6.38	2.82	+	5.61E-05	1.52E-02
*	negative regulation of nucleobase-containing compound metabolic process	1486	17	6.27	2.71	+	1.51E-04	2.65E-02
-	negative regulation of metabolic process	2976	27	12.56	2.15	+	8.57E-05	2.07E-02
*	negative regulation of gene expression	1773	19	7.48	2.54	+	1.35E-04	2.70E-02
-	negative regulation of macromolecule metabolic process	2712	25	11.45	2.18	+	1.69E-04	2.93E-02
