Parent	GO biological process complete	ref	list	expected	Fold Enrichment	+/-	raw P value	FDR
*	macrophage chemotaxis	14	3	0.04	81.24	+	1.14E-05	1.14E-03
-	leukocyte chemotaxis	141	7	0.37	18.82	+	1.18E-07	2.38E-05
-	cell chemotaxis	204	7	0.54	13.01	+	1.30E-06	1.79E-04
-	chemotaxis	547	7	1.44	4.85	+	5.96E-04	3.25E-02
-	taxis	549	7	1.45	4.83	+	6.09E-04	3.29E-02
-	response to external stimulus	2477	27	6.53	4.13	+	1.48E-11	1.82E-08
-	response to chemical	4520	29	11.92	2.43	+	4.70E-07	7.74E-05
-	cellular response to chemical stimulus	2961	23	7.81	2.94	+	5.93E-07	9.37E-05
-	macrophage migration	19	3	0.05	59.86	+	2.56E-05	2.30E-03
-	myeloid leukocyte migration	122	6	0.32	18.64	+	1.06E-06	1.53E-04
*	eosinophil chemotaxis	19	4	0.05	79.81	+	3.66E-07	6.49E-05
-	granulocyte chemotaxis	82	6	0.22	27.74	+	1.15E-07	2.35E-05
-	granulocyte migration	93	6	0.25	24.46	+	2.33E-07	4.37E-05
-	eosinophil migration	20	4	0.05	75.82	+	4.38E-07	7.36E-05
*	regulation of vascular wound healing	10	2	0.03	75.82	+	4.41E-04	2.56E-02
-	regulation of developmental process	2651	19	6.99	2.72	+	2.80E-05	2.48E-03
-	regulation of multicellular organismal development	2082	17	5.49	3.1	+	1.65E-05	1.57E-03
-	regulation of multicellular organismal process	3211	22	8.47	2.6	+	9.70E-06	9.98E-04
*	positive regulation of killing of cells of other organism	12	2	0.03	63.18	+	6.06E-04	3.29E-02
-	regulation of killing of cells of other organism	15	2	0.04	50.55	+	9.01E-04	4.48E-02
-	regulation of cell killing	104	5	0.27	18.23	+	9.93E-06	1.02E-03
-	positive regulation of cell killing	74	4	0.2	20.49	+	5.29E-05	4.22E-03
*	tolerance induction	13	2	0.03	58.32	+	6.98E-04	3.66E-02
*	regulation of tau-protein kinase activity	13	2	0.03	58.32	+	6.98E-04	3.65E-02
-	regulation of phosphorylation	1630	18	4.3	4.19	+	1.08E-07	2.23E-05
-	regulation of catalytic activity	2393	20	6.31	3.17	+	1.48E-06	1.97E-04
-	regulation of protein phosphorylation	1461	18	3.85	4.67	+	2.06E-08	5.76E-06
*	monocyte chemotaxis	42	6	0.11	54.16	+	2.82E-09	1.22E-06
-	mononuclear cell migration	48	6	0.13	47.39	+	5.87E-09	2.13E-06
*	macrophage activation involved in immune response	14	2	0.04	54.16	+	7.96E-04	4.07E-02
-	macrophage activation	52	3	0.14	21.87	+	4.10E-04	2.41E-02
-	myeloid leukocyte activation	583	13	1.54	8.45	+	3.49E-09	1.47E-06
-	leukocyte activation	921	17	2.43	7	+	1.43E-10	1.14E-07
-	cell activation	1068	18	2.82	6.39	+	1.53E-10	1.16E-07
-	myeloid cell activation involved in immune response	519	10	1.37	7.3	+	1.04E-06	1.52E-04
-	leukocyte activation involved in immune response	619	12	1.63	7.35	+	6.90E-08	1.57E-05
-	cell activation involved in immune response	623	12	1.64	7.3	+	7.39E-08	1.62E-05
*	positive regulation of nitric-oxide synthase biosynthetic process	15	2	0.04	50.55	+	9.01E-04	4.49E-02
-	positive regulation of metabolic process	3716	27	9.8	2.75	+	1.25E-07	2.47E-05
-	positive regulation of macromolecule metabolic process	3417	26	9.01	2.88	+	9.97E-08	2.09E-05
*	positive regulation of exosomal secretion	15	2	0.04	50.55	+	9.01E-04	4.47E-02
-	regulation of exosomal secretion	16	2	0.04	47.39	+	1.01E-03	4.94E-02
-	regulation of secretion by cell	783	12	2.07	5.81	+	8.20E-07	1.22E-04
-	regulation of secretion	837	12	2.21	5.44	+	1.63E-06	2.15E-04
-	positive regulation of secretion by cell	425	9	1.12	8.03	+	1.80E-06	2.35E-04
-	positive regulation of secretion	452	9	1.19	7.55	+	2.95E-06	3.68E-04
*	negative regulation of interleukin-2 production	24	3	0.06	47.39	+	4.82E-05	3.87E-03
-	regulation of interleukin-2 production	58	3	0.15	19.61	+	5.57E-04	3.11E-02
-	regulation of cytokine production	734	10	1.94	5.16	+	2.10E-05	1.92E-03
-	negative regulation of cytokine production	278	7	0.73	9.55	+	9.43E-06	9.77E-04
-	negative regulation of multicellular organismal process	1224	12	3.23	3.72	+	7.09E-05	5.44E-03
*	negative regulation of natural killer cell mediated cytotoxicity	16	2	0.04	47.39	+	1.01E-03	4.92E-02
-	regulation of natural killer cell mediated cytotoxicity	40	3	0.11	28.43	+	1.97E-04	1.28E-02
-	regulation of natural killer cell mediated immunity	44	3	0.12	25.85	+	2.57E-04	1.63E-02
-	regulation of innate immune response	304	6	0.8	7.48	+	1.59E-04	1.09E-02
-	regulation of immune response	1143	17	3.01	5.64	+	3.66E-09	1.50E-06
-	regulation of response to biotic stimulus	408	6	1.08	5.58	+	7.43E-04	3.84E-02
-	negative regulation of immune system process	623	12	1.64	7.3	+	7.39E-08	1.59E-05
-	negative regulation of cellular process	4888	27	12.89	2.09	+	3.79E-05	3.18E-03
-	negative regulation of innate immune response	60	3	0.16	18.96	+	6.12E-04	3.30E-02
-	negative regulation of response to external stimulus	565	8	1.49	5.37	+	1.19E-04	8.61E-03
-	negative regulation of response to stimulus	1836	13	4.84	2.68	+	8.22E-04	4.17E-02
-	negative regulation of immune response	346	8	0.91	8.77	+	3.80E-06	4.63E-04
-	negative regulation of defense response	406	7	1.07	6.54	+	1.00E-04	7.36E-03
*	lymphocyte chemotaxis	49	6	0.13	46.42	+	6.57E-09	2.33E-06
*	natural killer cell mediated immunity	25	3	0.07	45.49	+	5.39E-05	4.28E-03
-	innate immune response	777	16	2.05	7.81	+	1.18E-10	1.04E-07
-	defense response to other organism	970	18	2.56	7.04	+	3.26E-11	3.25E-08
-	response to other organism	1345	25	3.55	7.05	+	9.52E-16	5.07E-12
-	response to external biotic stimulus	1347	25	3.55	7.04	+	9.85E-16	3.93E-12
-	response to biotic stimulus	1379	25	3.64	6.87	+	1.68E-15	4.47E-12
-	defense response	1369	25	3.61	6.92	+	1.42E-15	4.55E-12
-	response to stress	3635	33	9.59	3.44	+	2.26E-12	3.60E-09
*	cytolysis	31	3	0.08	36.69	+	9.73E-05	7.22E-03
*	chemokine-mediated signaling pathway	79	7	0.21	33.59	+	2.69E-09	1.26E-06
-	cytokine-mediated signaling pathway	694	14	1.83	7.65	+	2.76E-09	1.23E-06
-	cell surface receptor signaling pathway	2493	23	6.58	3.5	+	2.51E-08	6.57E-06
-	cellular response to cytokine stimulus	1031	15	2.72	5.52	+	5.04E-08	1.22E-05
-	cellular response to organic substance	2400	21	6.33	3.32	+	3.32E-07	5.96E-05
-	response to organic substance	3033	26	8	3.25	+	8.28E-09	2.81E-06
-	response to cytokine	1121	17	2.96	5.75	+	2.74E-09	1.25E-06
-	cellular response to chemokine	89	7	0.23	29.82	+	5.84E-09	2.22E-06
-	response to chemokine	89	7	0.23	29.82	+	5.84E-09	2.17E-06
*	lipopolysaccharide-mediated signaling pathway	35	3	0.09	32.5	+	1.36E-04	9.66E-03
-	cellular response to lipopolysaccharide	191	5	0.5	9.92	+	1.64E-04	1.12E-02
-	response to oxygen-containing compound	1609	13	4.24	3.06	+	2.33E-04	1.49E-02
-	response to lipopolysaccharide	323	10	0.85	11.74	+	1.42E-08	4.46E-06
-	response to lipid	869	12	2.29	5.24	+	2.40E-06	3.04E-04
-	response to molecule of bacterial origin	340	10	0.9	11.15	+	2.28E-08	6.17E-06
-	response to bacterium	709	12	1.87	6.42	+	2.91E-07	5.33E-05
-	cellular response to lipid	529	7	1.4	5.02	+	4.90E-04	2.78E-02
-	cellular response to molecule of bacterial origin	201	5	0.53	9.43	+	2.06E-04	1.33E-02
-	cellular response to biotic stimulus	225	5	0.59	8.42	+	3.43E-04	2.07E-02
*	neutrophil chemotaxis	75	6	0.2	30.33	+	6.98E-08	1.57E-05
-	neutrophil migration	83	6	0.22	27.41	+	1.23E-07	2.45E-05
*	protein kinase B signaling	38	3	0.1	29.93	+	1.71E-04	1.14E-02
-	intracellular signal transduction	1705	16	4.5	3.56	+	5.59E-06	6.28E-04
*	regulation of endothelial cell apoptotic process	50	3	0.13	22.75	+	3.68E-04	2.20E-02
-	regulation of apoptotic process	1557	12	4.11	2.92	+	6.48E-04	3.47E-02
-	regulation of programmed cell death	1579	13	4.17	3.12	+	1.94E-04	1.26E-02
-	regulation of cell death	1706	14	4.5	3.11	+	1.07E-04	7.86E-03
*	establishment of protein localization to vacuole	50	3	0.13	22.75	+	3.68E-04	2.19E-02
-	protein localization to organelle	768	9	2.03	4.44	+	1.77E-04	1.18E-02
-	protein localization to vacuole	62	3	0.16	18.34	+	6.71E-04	3.57E-02
*	negative regulation of cytokine secretion	68	4	0.18	22.3	+	3.86E-05	3.21E-03
-	negative regulation of protein secretion	132	4	0.35	11.49	+	4.52E-04	2.61E-02
-	regulation of protein secretion	489	10	1.29	7.75	+	6.12E-07	9.49E-05
-	regulation of peptide secretion	519	10	1.37	7.3	+	1.04E-06	1.51E-04
-	regulation of peptide transport	795	11	2.1	5.25	+	6.62E-06	7.19E-04
-	regulation of protein transport	763	11	2.01	5.47	+	4.51E-06	5.33E-04
-	regulation of establishment of protein localization	788	11	2.08	5.29	+	6.10E-06	6.80E-04
-	regulation of protein localization	1070	14	2.82	4.96	+	5.52E-07	8.90E-05
-	negative regulation of peptide secretion	138	4	0.36	10.99	+	5.32E-04	2.99E-02
-	regulation of cytokine secretion	218	8	0.58	13.91	+	1.30E-07	2.49E-05
*	positive regulation of reactive oxygen species biosynthetic process	54	3	0.14	21.06	+	4.56E-04	2.62E-02
-	positive regulation of cellular metabolic process	3405	25	8.98	2.78	+	4.17E-07	7.09E-05
*	regulation of monooxygenase activity	57	3	0.15	19.95	+	5.30E-04	2.99E-02
*	positive regulation of dephosphorylation	58	3	0.15	19.61	+	5.57E-04	3.10E-02
-	positive regulation of phosphate metabolic process	1163	18	3.07	5.87	+	5.92E-10	3.63E-07
-	positive regulation of phosphorus metabolic process	1163	18	3.07	5.87	+	5.92E-10	3.78E-07
*	positive regulation of myeloid leukocyte differentiation	58	3	0.15	19.61	+	5.57E-04	3.08E-02
-	regulation of cell differentiation	1857	13	4.9	2.65	+	9.14E-04	4.52E-02
-	positive regulation of multicellular organismal process	1783	15	4.7	3.19	+	4.28E-05	3.48E-03
-	regulation of hemopoiesis	468	8	1.23	6.48	+	3.24E-05	2.80E-03
-	regulation of leukocyte differentiation	284	7	0.75	9.34	+	1.08E-05	1.09E-03
-	regulation of myeloid leukocyte differentiation	122	4	0.32	12.43	+	3.38E-04	2.04E-02
-	regulation of myeloid cell differentiation	236	5	0.62	8.03	+	4.25E-04	2.47E-02
*	T cell activation involved in immune response	63	3	0.17	18.05	+	7.01E-04	3.66E-02
*	positive regulation of interleukin-1 production	64	3	0.17	17.77	+	7.33E-04	3.80E-02
-	regulation of interleukin-1 production	101	4	0.27	15.01	+	1.68E-04	1.14E-02
*	cellular response to interleukin-1	176	8	0.46	17.23	+	2.64E-08	6.81E-06
-	response to interleukin-1	201	8	0.53	15.09	+	7.10E-08	1.57E-05
*	positive regulation of phagocytosis	66	3	0.17	17.23	+	7.98E-04	4.06E-02
*	regulation of osteoclast differentiation	68	3	0.18	16.73	+	8.68E-04	4.34E-02
*	interferon-gamma-mediated signaling pathway	72	3	0.19	15.8	+	1.02E-03	4.94E-02
-	cellular response to interferon-gamma	164	10	0.43	23.12	+	2.60E-11	2.77E-08
-	response to interferon-gamma	186	11	0.49	22.42	+	3.28E-12	4.75E-09
*	positive regulation of neuron death	99	4	0.26	15.32	+	1.56E-04	1.07E-02
-	positive regulation of cell death	711	11	1.88	5.87	+	2.31E-06	2.97E-04
-	regulation of neuron death	320	6	0.84	7.11	+	2.09E-04	1.34E-02
*	positive regulation of cytokine secretion	151	6	0.4	15.06	+	3.49E-06	4.31E-04
-	positive regulation of protein secretion	285	7	0.75	9.31	+	1.10E-05	1.11E-03
-	positive regulation of protein transport	464	8	1.22	6.54	+	3.05E-05	2.66E-03
-	positive regulation of establishment of protein localization	480	8	1.27	6.32	+	3.87E-05	3.20E-03
-	positive regulation of peptide secretion	308	7	0.81	8.62	+	1.80E-05	1.70E-03
*	response to cAMP	101	4	0.27	15.01	+	1.68E-04	1.14E-02
-	response to organophosphorus	142	4	0.37	10.68	+	5.90E-04	3.23E-02
-	response to purine-containing compound	157	4	0.41	9.66	+	8.51E-04	4.27E-02
-	response to organic cyclic compound	930	9	2.45	3.67	+	7.08E-04	3.68E-02
*	positive regulation of ERK1 and ERK2 cascade	210	8	0.55	14.44	+	9.82E-08	2.09E-05
-	regulation of ERK1 and ERK2 cascade	292	8	0.77	10.39	+	1.11E-06	1.57E-04
-	regulation of MAPK cascade	729	12	1.92	6.24	+	3.89E-07	6.68E-05
-	regulation of intracellular signal transduction	1799	17	4.75	3.58	+	2.35E-06	3.00E-04
-	positive regulation of MAPK cascade	544	12	1.43	8.36	+	1.72E-08	5.19E-06
-	positive regulation of intracellular signal transduction	1034	14	2.73	5.13	+	3.67E-07	6.45E-05
-	positive regulation of protein phosphorylation	1016	16	2.68	5.97	+	5.35E-09	2.08E-06
-	positive regulation of phosphorylation	1093	16	2.88	5.55	+	1.48E-08	4.54E-06
-	positive regulation of protein modification process	1247	18	3.29	5.47	+	1.77E-09	9.43E-07
-	positive regulation of cellular protein metabolic process	1625	20	4.29	4.67	+	2.56E-09	1.28E-06
-	positive regulation of protein metabolic process	1736	20	4.58	4.37	+	7.86E-09	2.73E-06
-	positive regulation of nitrogen compound metabolic process	3239	24	8.54	2.81	+	6.98E-07	1.06E-04
*	response to hydrogen peroxide	119	4	0.31	12.74	+	3.09E-04	1.89E-02
-	response to reactive oxygen species	196	5	0.52	9.67	+	1.84E-04	1.21E-02
-	response to toxic substance	520	9	1.37	6.56	+	8.97E-06	9.42E-04
*	cellular response to tumor necrosis factor	245	8	0.65	12.38	+	3.07E-07	5.57E-05
-	response to tumor necrosis factor	271	9	0.71	12.59	+	4.52E-08	1.11E-05
*	positive regulation of calcium ion transport	124	4	0.33	12.23	+	3.59E-04	2.15E-02
-	regulation of calcium ion transport	262	5	0.69	7.23	+	6.76E-04	3.57E-02
-	regulation of metal ion transport	398	6	1.05	5.72	+	6.54E-04	3.49E-02
*	regulation of endothelial cell proliferation	133	4	0.35	11.4	+	4.65E-04	2.65E-02
-	regulation of epithelial cell proliferation	343	7	0.9	7.74	+	3.53E-05	2.98E-03
-	regulation of cell population proliferation	1656	13	4.37	2.98	+	3.09E-04	1.88E-02
*	regulation of smooth muscle cell proliferation	136	4	0.36	11.15	+	5.04E-04	2.85E-02
*	inflammatory response	512	15	1.35	11.11	+	4.07E-12	5.42E-09
*	regulation of interleukin-6 production	144	4	0.38	10.53	+	6.21E-04	3.34E-02
*	regulation of tumor necrosis factor production	153	4	0.4	9.91	+	7.75E-04	3.99E-02
-	regulation of tumor necrosis factor superfamily cytokine production	156	4	0.41	9.72	+	8.32E-04	4.20E-02
*	negative regulation of lymphocyte activation	153	4	0.4	9.91	+	7.75E-04	3.98E-02
-	regulation of lymphocyte activation	532	9	1.4	6.41	+	1.07E-05	1.09E-03
*	positive regulation of epithelial cell proliferation	195	5	0.51	9.72	+	1.80E-04	1.19E-02
*	regulation of cytokine-mediated signaling pathway	163	4	0.43	9.3	+	9.75E-04	4.78E-02
*	positive regulation of T cell activation	212	5	0.56	8.94	+	2.62E-04	1.66E-02
-	positive regulation of leukocyte cell-cell adhesion	231	5	0.61	8.21	+	3.86E-04	2.28E-02
-	regulation of leukocyte cell-cell adhesion	317	6	0.84	7.18	+	1.99E-04	1.29E-02
-	regulation of cell-cell adhesion	426	7	1.12	6.23	+	1.34E-04	9.55E-03
-	regulation of cell adhesion	718	8	1.89	4.22	+	5.85E-04	3.21E-02
-	positive regulation of cell-cell adhesion	275	5	0.73	6.89	+	8.37E-04	4.21E-02
-	regulation of T cell activation	331	7	0.87	8.02	+	2.83E-05	2.49E-03
-	Fc receptor signaling pathway	240	5	0.63	7.9	+	4.58E-04	2.62E-02
*	positive regulation of GTPase activity	407	8	1.07	7.45	+	1.21E-05	1.20E-03
-	positive regulation of hydrolase activity	770	11	2.03	5.42	+	4.91E-06	5.64E-04
-	regulation of hydrolase activity	1295	12	3.42	3.51	+	1.21E-04	8.68E-03
-	positive regulation of catalytic activity	1477	18	3.9	4.62	+	2.43E-08	6.46E-06
-	regulation of GTPase activity	481	8	1.27	6.31	+	3.92E-05	3.23E-03
*	MAPK cascade	368	7	0.97	7.21	+	5.47E-05	4.28E-03
-	signal transduction by protein phosphorylation	393	7	1.04	6.75	+	8.19E-05	6.23E-03
*	response to virus	288	5	0.76	6.58	+	1.03E-03	4.96E-02
*	positive regulation of apoptotic process	653	10	1.72	5.81	+	7.75E-06	8.30E-04
-	positive regulation of programmed cell death	659	10	1.74	5.75	+	8.39E-06	8.86E-04
*	neutrophil degranulation	482	7	1.27	5.51	+	2.82E-04	1.77E-02
-	neutrophil mediated immunity	493	7	1.3	5.38	+	3.23E-04	1.96E-02
-	myeloid leukocyte mediated immunity	514	8	1.36	5.9	+	6.21E-05	4.79E-03
-	neutrophil activation involved in immune response	486	7	1.28	5.46	+	2.96E-04	1.85E-02
-	neutrophil activation	495	8	1.31	6.13	+	4.79E-05	3.86E-03
-	granulocyte activation	500	9	1.32	6.82	+	6.58E-06	7.19E-04
-	leukocyte degranulation	504	8	1.33	6.02	+	5.43E-05	4.27E-03
-	regulated exocytosis	696	9	1.84	4.9	+	8.49E-05	6.37E-03
-	exocytosis	788	10	2.08	4.81	+	3.82E-05	3.19E-03
-	secretion by cell	1002	11	2.64	4.16	+	5.51E-05	4.29E-03
-	export from cell	1049	11	2.77	3.98	+	8.28E-05	6.26E-03
-	secretion	1119	11	2.95	3.73	+	1.46E-04	1.02E-02
-	vesicle-mediated transport	1944	14	5.13	2.73	+	4.16E-04	2.43E-02
*	positive regulation of protein kinase activity	541	7	1.43	4.91	+	5.58E-04	3.08E-02
*	positive regulation of immune response	749	9	1.98	4.56	+	1.47E-04	1.02E-02
*	G protein-coupled receptor signaling pathway	1323	13	3.49	3.73	+	3.25E-05	2.79E-03
*	negative regulation of developmental process	972	9	2.56	3.51	+	9.66E-04	4.75E-02
*	negative regulation of protein metabolic process	1126	10	2.97	3.37	+	6.74E-04	3.58E-02
								
								
								
								
								
